OP_CARRIER,ORIGIN,DEST,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DISTANCE,DEP_DELAY,ARR_DELAY
NK,DEN,MIA,12,5,577,1176,-15.0,-20.620376264177196
SQ,CDG,DXB,8,1,2219,2053,-15.0,-3.8020077240619603
SG,DEN,ATL,2,4,2341,2575,59.5201413224498,57.32520496886055
F9,MEL,ICN,8,1,2284,766,23.327032244005444,23.06187138195143
NK,DEL,DXB,6,4,485,432,7.840705191106096,10.114552534842291
SG,ATL,LHR,3,4,53,2135,21.88235027057428,32.926126585027944
SG,ATL,GOI,2,4,966,2313,9.39961449240431,32.30041224244104
WN,SEA,HKG,7,3,525,329,-14.220896607763562,-5.477883015775035
UA,MAA,SIN,2,5,264,1123,-8.916165100941598,-9.437534862156994
DL,NRT,MIA,9,3,2300,2616,33.78519439280412,34.5818777615683
UK,BLR,DFW,8,2,288,1289,-15.0,-16.845933734566493
AS,ORD,SYD,10,4,8,2442,0.9123177311908677,0.37798241642415986
DL,MCO,DEL,3,6,1425,2897,-15.0,-13.397580947747997
AA,BOS,ORD,5,6,1603,239,-15.0,-3.3856598314262616
UK,ICN,MAA,9,1,2243,1832,18.87240642484106,13.242320707239163
UK,DXB,PNQ,8,5,628,859,-15.0,1.404168873727187
LH,COK,KUL,12,7,1060,2795,16.314372717941524,19.03761840546973
6E,NRT,DXB,12,4,374,1895,46.47510310475997,49.30466802036132
BA,KUL,MCO,3,3,2101,1663,-1.3145250160585604,-12.18900355766258
SQ,SYD,DXB,5,2,1305,2500,-15.0,-3.939033521122248
SQ,SEA,HYD,5,2,2190,953,7.029784946399265,24.762664676707754
UK,ATL,LAS,1,3,2081,1057,42.162895468820565,50.23146296630644
UA,CCU,DEN,9,4,661,1347,-6.406720123391036,-6.512047519775932
B6,COK,LAS,10,1,1148,1926,10.046320726239252,15.39340722272148
NK,BOM,DXB,1,6,1823,2610,16.873921279069407,24.16368919742157
AI,COK,MEL,11,1,2099,1823,8.525119643664365,4.667245147960328
QR,JFK,BOM,9,2,958,493,6.035981794519939,-20.352662902362184
WN,FRA,GOI,9,3,319,741,61.69058277864842,56.13906274066466
EK,JFK,DEN,3,6,419,1386,-15.0,-15.474258695050384
QR,MAA,CDG,4,2,1179,132,150.79759027456123,148.24098160486562
AI,ORD,CCU,10,3,946,2762,30.05392883424611,29.429044525064512
DL,NRT,ATL,6,5,1702,410,29.645130996168575,16.479790503454694
SQ,DXB,DFW,3,1,970,2443,16.784603632203517,11.41565282608391
NK,GOI,FRA,10,1,1123,2077,6.172834054613855,7.646284407184526
UK,DEL,MAA,7,3,832,1144,-15.0,-8.558444296415091
F9,ATL,DXB,12,4,1827,1563,34.94685170050009,51.96759066175444
SQ,NRT,KUL,3,1,1458,1295,16.09675938752453,-0.3811443742370244
UA,SFO,BOM,8,3,1511,1191,7.3617515378583995,12.980263469003319
EK,BKK,BOS,6,3,1305,1839,-15.0,-20.977886501662766
LH,COK,DFW,10,2,2340,679,-15.0,-43.20235305986276
WN,MAA,BLR,5,7,779,2323,10.412289225021553,3.88839150305908
QR,HKG,LAS,5,1,317,626,19.539736303014134,1.2963861166825588
F9,LHR,CDG,8,1,1373,960,7.204402865653975,21.68153943271482
WN,BOM,PNQ,3,4,1957,186,34.25321757098059,53.096165508675725
DL,GOI,ORD,6,2,569,2054,3.358580821655708,21.97543935330385
AS,AMD,SYD,5,5,880,2639,-10.327541028519605,-13.08879004888249
6E,DEL,HYD,1,3,668,2300,8.108423583391561,-9.443234502752608
WN,ORD,AMD,5,2,1571,2272,0.8765873895318128,0.9222013967898295
QR,BOM,MIA,3,7,2114,378,11.426679503201477,10.874675680017441
UK,MEL,BOS,12,1,457,2430,26.943473550203095,33.880861239494934
DL,CCU,GOI,3,3,2380,2836,-14.167667322582018,-37.538806778987734
6E,SIN,FRA,11,3,1144,2533,-15.0,-22.227964509370707
WN,ICN,DXB,2,7,1625,548,9.347798034008065,14.343926443107309
EK,AMD,BLR,11,6,1438,169,-15.0,-0.7309940427931281
BA,GOI,COK,5,2,872,2123,20.330907138652844,11.205385292129126
SQ,AMD,DEL,8,5,552,1332,-7.931183190421889,-2.1603275035717937
F9,CDG,BOS,10,5,2276,837,15.48087235655899,26.37397183454397
EK,DEN,HYD,1,1,1632,2750,115.00445676976113,106.54151278408928
F9,GOI,BLR,2,2,1473,704,45.3345456778268,35.16378726217268
BA,DFW,MEL,12,6,1509,2545,13.42947478277699,10.182637241148317
G8,LAX,BLR,1,6,154,1186,30.445662586886264,18.9339980464528
QR,NRT,DEL,6,2,2279,1342,4.222470499794081,22.680428130854942
SQ,AMD,NRT,6,2,1580,1706,-15.0,-34.950821968212495
G8,HYD,DFW,7,5,1926,1203,8.332846820598178,7.5227543791298945
AI,MEL,MCO,4,5,1724,1545,5.695125730835535,0.24545922865171566
SQ,PNQ,MAA,10,6,972,745,-10.99153979681066,-9.731246110353949
G8,HKG,NRT,9,2,2277,2656,17.81045280504565,-4.229938357601988
AA,SEA,CCU,8,4,2083,577,-15.0,-19.274944342118843
NK,DFW,ORD,1,2,464,2294,75.88228741212374,81.20068649541287
AI,MCO,LHR,2,6,1435,580,3.7061789419994806,2.945875403541295
AA,GOI,LHR,5,4,318,1510,-8.348728384139989,-19.941943894713113
UK,DEN,HKG,5,7,36,1625,-15.0,-23.749565439609395
F9,COK,AMD,10,3,6,2463,13.174723868292453,12.768826573779616
SG,SFO,HYD,3,7,639,1586,26.45470110605745,22.94832064099055
LH,MIA,COK,2,2,1246,1723,-15.0,-13.555567168115504
F9,BOS,CCU,2,5,597,1375,40.50784754282077,46.61894150535365
UA,COK,CDG,3,3,993,1164,-1.7626308509061261,9.946126103373343
UA,NRT,BLR,8,2,329,633,-15.0,-4.0678801508723375
AA,FRA,NRT,3,3,664,1372,30.015678656225603,50.42353217510089
B6,PNQ,SFO,9,6,1608,1530,27.687070449841084,25.887667569895555
6E,BOM,CCU,2,2,1376,932,34.59737734746115,37.92590668849388
NK,SFO,BOS,2,1,1326,1570,43.096178992325164,37.41567580876967
AI,BLR,LAS,9,1,944,1204,12.710788421540308,18.975583234501304
NK,HKG,LHR,4,2,1541,648,42.820153593989204,32.06292931888444
AI,MCO,BOM,11,3,781,649,-15.0,-8.298689861869413
F9,DFW,MEL,8,6,908,1478,38.74515938945561,34.77352242232467
UK,MIA,MCO,11,1,567,2362,-15.0,-31.084925285099246
DL,DEL,MAA,9,7,203,736,3.869539265037048,25.280872948533133
AA,MEL,NRT,2,7,2337,2772,61.15226440624935,71.60376329675319
BA,ATL,JFK,2,6,381,1354,25.236122182149916,30.782323383940067
B6,LHR,LAS,10,6,123,1680,20.56612715530069,20.022273512079167
UA,AMD,COK,8,2,199,472,9.283763121719426,1.4790657594686163
UK,LHR,DXB,6,1,2143,282,-15.0,-4.53792122767439
F9,JFK,DFW,12,1,839,2652,-6.819626135832733,-4.143320420336417
UA,DEN,CDG,9,7,369,1651,-15.0,-17.680721930254954
AA,CDG,ORD,10,2,585,1879,5.306881790279517,10.485475573172987
UA,CDG,PNQ,5,2,1672,2413,-5.711839237062319,-7.315970033920438
B6,CDG,CCU,2,4,283,1072,37.84744480838174,47.45615917727087
EK,KUL,HKG,3,6,2092,488,-15.0,-13.356648113006175
UA,HKG,ICN,1,1,240,1655,38.633077619760606,51.726339213514606
AA,ORD,MAA,3,5,2143,173,25.207860913563568,18.5270094238681
B6,GOI,CCU,12,2,1228,633,1.6266190521689952,8.793787174513586
EK,BOM,SFO,12,2,1744,513,47.675888027889705,54.69002506170305
NK,ORD,BOS,1,4,1347,1565,44.5982168703368,52.18539622031355
AI,LAX,BLR,7,7,1269,2223,56.08702646364589,61.96738425153817
SQ,ORD,MIA,4,4,337,2811,15.411628351755702,2.1830896661729433
SQ,ATL,LHR,1,2,1383,1813,198.4437773680131,198.29286743111408
6E,COK,ORD,4,3,2141,2906,28.51610449932928,41.34148415984673
G8,LHR,BOS,6,4,2279,1378,35.15028672730203,29.13156576537063
NK,ICN,SYD,11,6,217,1207,-10.571739510304804,-12.311393708136592
LH,SEA,MIA,4,6,1333,2110,-7.513621607586176,-7.3639375690881
WN,MCO,DEN,12,1,691,1247,56.52426804809724,63.57453745967659
B6,BLR,PNQ,4,1,1848,1099,11.041870669883982,1.3240909504271432
NK,DFW,CDG,10,7,743,1217,23.826827391434062,17.64697662951721
G8,LAS,DFW,7,7,1375,2989,-0.15993400660717594,-7.68582416889514
SQ,LHR,ORD,11,3,1862,708,8.330400080587921,24.410629020032196
SG,GOI,LAS,2,6,934,939,5.421251220697588,-5.9799024552155675
WN,MEL,LHR,3,5,1776,602,21.61036024611118,21.883613549672116
G8,FRA,SIN,7,4,1236,959,14.145407097627338,14.219879323478967
NK,SEA,AMD,5,5,2352,1659,37.77144741612851,32.038566325967764
DL,MCO,KUL,3,7,1899,2693,30.63469531810044,15.809085224978922
